row_id,zone,acreage,cluster_zone,residential,full_address,geocode_score,geocode_precision,latitude,longitude
195,R-1,0.79,,Y,"1 Armour Road,Princeton,NJ",0.965,range,40.345849,-74.6702
196,R-1,0.88,,Y,"41 Armour Road,Princeton,NJ",0.965,range,40.345044,-74.671006
197,R-1,0.63,,Y,"17 Armour Road,Princeton,NJ",0.965,range,40.345527,-74.670523
198,R-1,0.63,,Y,"23 Armour Road,Princeton,NJ",2,Parcel,40.34545986,-74.67154471
199,R-1,0.63,,Y,"27 Armour Road,Princeton,NJ",0.965,range,40.345326,-74.670724
200,R-1,0.63,,Y,"7 Armour Road,Princeton,NJ",0.965,range,40.345728,-74.670321
203,R2,2.42,,Y,"22 Arreton Road,Princeton,NJ",0.965,range,40.382005,-74.662522
205,CLU,1,Princeton Ridge,N,"130 Arreton Road,Princeton,NJ",0.965,range,40.382956,-74.667975
208,CLU,1.25,Princeton Ridge,N,"255 Arreton Road,Princeton,NJ",2,Parcel,40.37984169,-74.66572006
209,RA,3.25,,Y,"96 Arreton Road,Princeton,NJ",2,Parcel,40.38197286,-74.66627044
210,CLU,1.09,Princeton Ridge,N,"250 Arreton Road,Princeton,NJ",2,Parcel,40.38066494,-74.66545191
213,CLU,1.04,Princeton Ridge,N,"245 Arreton Road,Princeton,NJ",2,Parcel,40.37979014,-74.66654642
216,CLU,1.02,Princeton Ridge,N,"220 Arreton Road,Princeton,NJ",2,Parcel,40.38079373,-74.66764022
218,CLU,1,Princeton Ridge,N,"210 Arreton Road,Princeton,NJ",2,Parcel,40.38114691,-74.66817116
219,CLU,1,Princeton Ridge,N,"205 Arreton Road,Princeton,NJ",2,Parcel,40.38067776,-74.66891443
222,CLU,1,Princeton Ridge,N,"150 Arreton Road,Princeton,NJ",0.965,range,40.382828,-74.668986
223,CLU,1,Princeton Ridge,N,"235 Arreton Road,Princeton,NJ",0.965,range,40.380193,-74.666998
225,RA,3.51,,Y,"45 Arreton Road,Princeton,NJ",0.965,range,40.382441,-74.664872
226,CLU,1,Princeton Ridge,N,"185 Arreton Road,Princeton,NJ",2,Parcel,40.38179774,-74.66991891
227,CLU,1,Princeton Ridge,N,"195 Arreton Road,Princeton,NJ",2,Parcel,40.38128068,-74.66953455
228,CLU,1,Princeton Ridge,N,"175 Arreton Road,Princeton,NJ",2,Parcel,40.38231509,-74.66991613
230,CLU,1,Princeton Ridge,N,"155 Arreton Road,Princeton,NJ",2,Parcel,40.38321256,-74.66925014
231,CLU,1,Princeton Ridge,N,"135 Arreton Road,Princeton,NJ",0.965,range,40.381189,-74.66886
232,RA,4.36,,Y,"77 Arreton Road,Princeton,NJ",2,Parcel,40.38313447,-74.66518722
233,RA,3.99,,Y,"115 Arreton Road,Princeton,NJ",0.965,range,40.38209,-74.669421
234,R1,2.04,,Y,"58 Audubon Lane,Princeton,NJ",0.965,range,40.345915,-74.703756
235,R1,2.17,,Y,"90 Audubon Lane,Princeton,NJ",0.965,range,40.345999,-74.70642
236,R1,2.03,,Y,"120 Audubon Lane,Princeton,NJ",2,Parcel,40.34558407,-74.70561505
237,R1,2.04,,Y,"02 Audubon Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.34347718,-74.70172377
238,R1,2,,Y,"28 Audubon Lane,Princeton,NJ",0.965,range,40.344701,-74.702606
240,R1,3.23,,Y,"01 Audubon Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.34363296,-74.7016387
241,R1,2.01,,Y,"105 Audubon Lane,Princeton,NJ",0.965,range,40.345999,-74.70642
243,R1,2.02,,Y,"23 Audubon Lane,Princeton,NJ",0.965,range,40.344402,-74.702323
244,R1,2.09,,Y,"67 Audubon Lane,Princeton,NJ",2,Parcel,40.34591612,-74.70326173
245,R2,1.5,,Y,"90 Autumn Hil Road,Princeton,NJ",3,StreetSegmentInterpolation,40.3823859,-74.63613352
246,R2,2.3,,Y,"107 Autumn Hill Road,Princeton,NJ",0.965,range,40.382581,-74.635416
